Scoring Function,Distance Cutoff,Fold,RMSE,PEARSON
ELEMENTS-RF,5.5,7,1.504210446880348,0.6928755396154184
ELEMENTS-RF,5.5,8,1.370485104394658,0.7079533661667787
ELEMENTS-RF,5.5,9,1.5209495953494363,0.7010259045676506
ELEMENTS-RF,5.5,Test,1.4443653334653557,0.7794710547218285
ELEMENTS-RF,6.0,0,1.4825095800464303,0.6958758474394797
ELEMENTS-RF,6.0,1,1.4883122893852885,0.6344215217948971
ELEMENTS-RF,6.0,2,1.343747199504478,0.6695650227547629
ELEMENTS-RF,6.0,3,1.4689410241254146,0.694460021380917
ELEMENTS-RF,6.0,4,1.51169381525005,0.6307141484149746
ELEMENTS-RF,6.0,5,1.4407745558910026,0.7207386407333598
ELEMENTS-RF,6.0,6,1.4706097541851508,0.5905189644243106
ELEMENTS-RF,6.0,7,1.4975275931664698,0.6961939722025333
ELEMENTS-RF,6.0,8,1.376674027680163,0.7047572298922908
ELEMENTS-RF,6.0,9,1.5245784550114514,0.6992908172045372
ELEMENTS-RF,6.0,Test,1.496950523266339,0.7557956643219379
ELEMENTS-RF,6.5,0,1.492166093990958,0.6910154978728847
ELEMENTS-RF,6.5,1,1.4896212222295668,0.6335923110359589
ELEMENTS-RF,6.5,2,1.3550482122392684,0.6625699327232425
ELEMENTS-RF,6.5,3,1.4924600033690132,0.6823221901013977
ELEMENTS-RF,6.5,4,1.5339496642442396,0.6163911834572235
ELEMENTS-RF,6.5,5,1.4454935554732122,0.7185479906274642
ELEMENTS-RF,6.5,6,1.4472120012867626,0.6076775940760032
ELEMENTS-RF,6.5,7,1.4797311408897338,0.7048837768144058
ELEMENTS-RF,6.5,8,1.3906381591319688,0.6974383763537609
ELEMENTS-RF,6.5,9,1.501542128244343,0.7101641604240554
ELEMENTS-RF,6.5,Test,1.4467547575331867,0.7800448232841742
ELEMENTS-RF,7.0,0,1.51197678515468,0.6808351332219299
ELEMENTS-RF,7.0,1,1.4837201180368795,0.6373164017585755
ELEMENTS-RF,7.0,2,1.3480296135075696,0.6669298164695109
ELEMENTS-RF,7.0,3,1.4953118276247548,0.6808224399974295
ELEMENTS-RF,7.0,4,1.5369453695776938,0.6144215522399443
ELEMENTS-RF,7.0,5,1.457060854074164,0.7131191893380919
ELEMENTS-RF,7.0,6,1.4286281340783211,0.6207790261389029
ELEMENTS-RF,7.0,7,1.4749762088425216,0.7071700586593698
ELEMENTS-RF,7.0,8,1.365691722795619,0.7104090842813087
ELEMENTS-RF,7.0,9,1.5404434030423158,0.6916049568952509
ELEMENTS-RF,7.0,Test,1.4623505487819275,0.7712481908542212
ELEMENTS-RF,7.5,0,1.5109546797922844,0.6813674035210104
ELEMENTS-RF,7.5,1,1.4755945264237285,0.6423850718139678
ELEMENTS-RF,7.5,2,1.3318342315231142,0.6767982166638639
ELEMENTS-RF,7.5,3,1.4650256232444767,0.6964416653226286
ELEMENTS-RF,7.5,4,1.5052039648413125,0.634791180593377
ELEMENTS-RF,7.5,5,1.41762644552898,0.7312873182890071
ELEMENTS-RF,7.5,6,1.4222350206696142,0.6251841824304675
ELEMENTS-RF,7.5,7,1.480301506908274,0.7046085380071389
ELEMENTS-RF,7.5,8,1.361656753326271,0.7124630565830197
ELEMENTS-RF,7.5,9,1.519173681355558,0.7018719660280929
ELEMENTS-RF,7.5,Test,1.4525101842181842,0.7807242967289558
ELEMENTS-RF,8.0,0,1.4862005218127885,0.6940258511913007
ELEMENTS-RF,8.0,1,1.4598727237950009,0.6520027824731666
ELEMENTS-RF,8.0,2,1.3234771996027863,0.6817886049043139
ELEMENTS-RF,8.0,3,1.4745633673264131,0.6915952356356345
ELEMENTS-RF,8.0,4,1.5200341653821186,0.6254095201920533
ELEMENTS-RF,8.0,5,1.4164211431861369,0.7318277718070144
ELEMENTS-RF,8.0,6,1.4022108635617958,0.6386605098371545
ELEMENTS-RF,8.0,7,1.4978812841464724,0.6960191097272339
ELEMENTS-RF,8.0,8,1.3478364669866254,0.7194081919565546
ELEMENTS-RF,8.0,9,1.5313208822263704,0.696044495386886
ELEMENTS-RF,8.0,Test,1.4316046233034665,0.7895433338540053
ELEMENTS-RF,8.5,0,1.5243146241673318,0.6743482747304874
ELEMENTS-RF,8.5,1,1.4580388986718826,0.6531087413658601
ELEMENTS-RF,8.5,2,1.327113222314675,0.6796257215383322
ELEMENTS-RF,8.5,3,1.495839005526368,0.680544525659253
ELEMENTS-RF,8.5,4,1.5201987475152554,0.6253040949756381
ELEMENTS-RF,8.5,5,1.44674735344982,0.7179636224115521
ELEMENTS-RF,8.5,6,1.4001980958266216,0.6399889788409429
ELEMENTS-RF,8.5,7,1.4893493876325246,0.700213595902571
ELEMENTS-RF,8.5,8,1.3814325117926185,0.7022800723680243
ELEMENTS-RF,8.5,9,1.5602368455049618,0.6817806785225364
ELEMENTS-RF,8.5,Test,1.4213860575348234,0.7925332152305181
ELEMENTS-RF,9.0,0,1.5132112548903371,0.6801912364732594
ELEMENTS-RF,9.0,1,1.4754928337637094,0.6424480777543131
ELEMENTS-RF,9.0,2,1.3294090021244187,0.6782534604107127
ELEMENTS-RF,9.0,3,1.504695160914522,0.675843957422063
ELEMENTS-RF,9.0,4,1.5228950431134525,0.6235727801334954
ELEMENTS-RF,9.0,5,1.4383014143148711,0.7218812135743884
ELEMENTS-RF,9.0,6,1.418395301108579,0.6278056496917194
ELEMENTS-RF,9.0,7,1.5051792682988658,0.6923919123590647
ELEMENTS-RF,9.0,8,1.3662811147525389,0.710108051577567
ELEMENTS-RF,9.0,9,1.5659566242603558,0.6788916197060161
ELEMENTS-RF,9.0,Test,1.4065384521496167,0.7982229122137106
ELEMENTS-RF,9.5,0,1.5057137210904683,0.6840845424255274
ELEMENTS-RF,9.5,1,1.4593762807802435,0.6523025039390143
ELEMENTS-RF,9.5,2,1.3272181207754017,0.6795631324462317
ELEMENTS-RF,9.5,3,1.4923315833909732,0.6823895802349171
ELEMENTS-RF,9.5,4,1.5017681083260317,0.6369320227785653
ELEMENTS-RF,9.5,5,1.4360525567693239,0.7229169010574771
ELEMENTS-RF,9.5,6,1.4254059530163437,0.6230056233682407
ELEMENTS-RF,9.5,7,1.4867993002508852,0.7014577830671325
ELEMENTS-RF,9.5,8,1.358007587147093,0.7143103399478945
ELEMENTS-RF,9.5,9,1.559062471668094,0.6823710367073367
ELEMENTS-RF,9.5,Test,1.4083927091795725,0.7969152626506495
ELEMENTS-RF,10.0,0,1.5233196840117351,0.6748756572456718
ELEMENTS-RF,10.0,1,1.4653269957414985,0.6486939649732797
ELEMENTS-RF,10.0,2,1.3454489363777429,0.6685200971959976
ELEMENTS-RF,10.0,3,1.5098345001544935,0.6730882864451612
ELEMENTS-RF,10.0,4,1.4981442011586377,0.6391769935054107
ELEMENTS-RF,10.0,5,1.4387146882099624,0.7216905465508793
ELEMENTS-RF,10.0,6,1.4049555021606406,0.6368414375707679
ELEMENTS-RF,10.0,7,1.4672870870410286,0.7108361423902934
ELEMENTS-RF,10.0,8,1.3668985539138503,0.7097924173993397
ELEMENTS-RF,10.0,9,1.5748068544100269,0.6743759625309773
ELEMENTS-RF,10.0,Test,1.4004130860445834,0.7991504082145168
ELEMENTS-RF,10.5,0,1.5098722931381334,0.6819302209670575
ELEMENTS-RF,10.5,1,1.4783569855475502,0.6406694930809641
ELEMENTS-RF,10.5,2,1.3472250797249088,0.6674263248035637
ELEMENTS-RF,10.5,3,1.51446045898294,0.6705901208584032
ELEMENTS-RF,10.5,4,1.5080722479446036,0.6329946778271249
ELEMENTS-RF,10.5,5,1.4554084672398773,0.7138998764471008
ELEMENTS-RF,10.5,6,1.3905132200352637,0.6463166305348459
ELEMENTS-RF,10.5,7,1.4832451970399816,0.7031846125476742
ELEMENTS-RF,10.5,8,1.358561966694003,0.7140303284914178
ELEMENTS-RF,10.5,9,1.5670226711618127,0.6783506271214376
ELEMENTS-RF,10.5,Test,1.3927637856946369,0.8059200002037639
ELEMENTS-RF,11.0,0,1.5261917867380337,0.6733511930864048
ELEMENTS-RF,11.0,1,1.478338678274622,0.6406808882018136
ELEMENTS-RF,11.0,2,1.343006005335459,0.6700192194238624
ELEMENTS-RF,11.0,3,1.5324009468395683,0.6607388509951055
ELEMENTS-RF,11.0,4,1.5309450037313126,0.6183565590478755
ELEMENTS-RF,11.0,5,1.4591074341800796,0.7121498447724385
ELEMENTS-RF,11.0,6,1.387016721137535,0.6485752153766389
ELEMENTS-RF,11.0,7,1.471484250404084,0.7088397095340322
ELEMENTS-RF,11.0,8,1.369727025787406,0.7083428809055566
ELEMENTS-RF,11.0,9,1.5602335272412444,0.6817823479616711
ELEMENTS-RF,11.0,Test,1.3946853370752244,0.8017847478396299
ELEMENTS-RF,11.5,0,1.5163330091782634,0.6785578584752837
ELEMENTS-RF,11.5,1,1.4820491615034217,0.6383642951184487
ELEMENTS-RF,11.5,2,1.3599601028365356,0.6594879970538189
ELEMENTS-RF,11.5,3,1.5298075706104624,0.6621791677243368
ELEMENTS-RF,11.5,4,1.536021450626288,0.6150300978417322
ELEMENTS-RF,11.5,5,1.4642428589989578,0.7097056519129038
ELEMENTS-RF,11.5,6,1.4063100131633868,0.6359404720549328
ELEMENTS-RF,11.5,7,1.4801434430479623,0.7046848355231989
ELEMENTS-RF,11.5,8,1.3580089984095365,0.7143096274180489
ELEMENTS-RF,11.5,9,1.5665955249409118,0.6785674893181207
ELEMENTS-RF,11.5,Test,1.3790642528903432,0.812033337038417
ELEMENTS-RF,12.0,0,1.5421551081013125,0.6647613541410079
ELEMENTS-RF,12.0,1,1.4846434659888703,0.6367361028995838
ELEMENTS-RF,12.0,2,1.354278346249553,0.6630506740386403
ELEMENTS-RF,12.0,3,1.5134507362352911,0.6711368494362461
ELEMENTS-RF,12.0,4,1.524709738176131,0.6224031043387104
ELEMENTS-RF,12.0,5,1.4553321890783693,0.7139358728559548
ELEMENTS-RF,12.0,6,1.3979840176490292,0.6414449422877363
ELEMENTS-RF,12.0,7,1.4693901423773226,0.7098372127129526
ELEMENTS-RF,12.0,8,1.3648005763585551,0.7108637499372411
ELEMENTS-RF,12.0,9,1.5623069410469927,0.6807377095233786
ELEMENTS-RF,12.0,Test,1.4008252237601977,0.8025768892198479
ELEMENTS-RF,12.5,0,1.5248884491364652,0.6740437661320711
ELEMENTS-RF,12.5,1,1.5086015652665437,0.6213603192120588
ELEMENTS-RF,12.5,2,1.3691447855874577,0.6536558793548817
ELEMENTS-RF,12.5,3,1.5053674701725095,0.6754846432838096
ELEMENTS-RF,12.5,4,1.5179241306727145,0.626758550222109
ELEMENTS-RF,12.5,5,1.451719583084445,0.7156364679657887
ELEMENTS-RF,12.5,6,1.4105088052993693,0.6331339143892447
ELEMENTS-RF,12.5,7,1.4906626726865857,0.6995711478709319
ELEMENTS-RF,12.5,8,1.3686975978346352,0.7088711325823139
ELEMENTS-RF,12.5,9,1.5567326402074415,0.6835394218113008
ELEMENTS-RF,12.5,Test,1.4111406861306686,0.7959032706426896
ELEMENTS-RF,13.0,0,1.541649195596828,0.6650366669969477
ELEMENTS-RF,13.0,1,1.4900755242173516,0.6333040856959269
ELEMENTS-RF,13.0,2,1.3697211510008906,0.6532868453924354
ELEMENTS-RF,13.0,3,1.4868105442258683,0.6852750934808886
ELEMENTS-RF,13.0,4,1.5361956436821138,0.6149154384339859
ELEMENTS-RF,13.0,5,1.459954972516298,0.7117476302846308
ELEMENTS-RF,13.0,6,1.415606979661298,0.6296980435319331
ELEMENTS-RF,13.0,7,1.486434153150414,0.7016355833840963
ELEMENTS-RF,13.0,8,1.3412505999278792,0.7226696267593185
ELEMENTS-RF,13.0,9,1.5423104299725539,0.6906895721213598
ELEMENTS-RF,13.0,Test,1.4147039001651396,0.7918205932164775
ELEMENTS-RF,13.5,0,1.5385109924655729,0.6667398955804432
ELEMENTS-RF,13.5,1,1.4774476882819054,0.6412350580279416
ELEMENTS-RF,13.5,2,1.3661606970660358,0.6555607269688599
ELEMENTS-RF,13.5,3,1.5131299824327298,0.6713103566397812
ELEMENTS-RF,13.5,4,1.5263838087769899,0.6213208779489993
ELEMENTS-RF,13.5,5,1.4611052598955452,0.7112010029533047
ELEMENTS-RF,13.5,6,1.399227388514544,0.6406280007044842
ELEMENTS-RF,13.5,7,1.4702403894955343,0.709432548122719
ELEMENTS-RF,13.5,8,1.3269520349687438,0.7296460018818077
ELEMENTS-RF,13.5,9,1.5457768548116104,0.6889838436298887
ELEMENTS-RF,13.5,Test,1.4351052897904604,0.7815394868809821
ELEMENTS-RF,14.0,0,1.5494954140076596,0.6607436947191054
ELEMENTS-RF,14.0,1,1.4885654545089906,0.63426128273825
ELEMENTS-RF,14.0,2,1.3776034620871045,0.6482031805658823
ELEMENTS-RF,14.0,3,1.5033505359261687,0.6765615357804058
ELEMENTS-RF,14.0,4,1.520424873448383,0.6251591994667657
ELEMENTS-RF,14.0,5,1.4694349117629175,0.707217144044027
ELEMENTS-RF,14.0,6,1.4155334100559458,0.6297478468271431
ELEMENTS-RF,14.0,7,1.4872552529124412,0.7012356423551365
ELEMENTS-RF,14.0,8,1.3365377190671135,0.7249847674341818
ELEMENTS-RF,14.0,9,1.5494172691047423,0.6871838034302657
ELEMENTS-RF,14.0,Test,1.4464776887331543,0.7787082455933142
ELEMENTS-RF,14.5,0,1.5582111850104834,0.6559161960239923
ELEMENTS-RF,14.5,1,1.4997934434647813,0.6270857076523932
ELEMENTS-RF,14.5,2,1.3769696602896122,0.6486145036215004
ELEMENTS-RF,14.5,3,1.5162590729046015,0.6696142253315079
ELEMENTS-RF,14.5,4,1.5346189528307237,0.6159520157269861
ELEMENTS-RF,14.5,5,1.4822191818757515,0.7010141537002089
ELEMENTS-RF,14.5,6,1.3983195343061905,0.6412246692429283
ELEMENTS-RF,14.5,7,1.4967394918773802,0.6965832979614075
ELEMENTS-RF,14.5,8,1.3272043963429845,0.7295240964513504
ELEMENTS-RF,14.5,9,1.546512769475247,0.688620683717048
ELEMENTS-RF,14.5,Test,1.4737479194817689,0.7641241969162077
ELEMENTS-RF,15.0,0,1.5529882319554265,0.6588165862233399
ELEMENTS-RF,15.0,1,1.505925938328829,0.6231086246343565
ELEMENTS-RF,15.0,2,1.3805744074592885,0.6462690829387883
ELEMENTS-RF,15.0,3,1.5436705444160088,0.6544144543003181
ELEMENTS-RF,15.0,4,1.5436491283448417,0.6099768466844236
ELEMENTS-RF,15.0,5,1.4900255054442093,0.6971726646196021
ELEMENTS-RF,15.0,6,1.4075741414190268,0.6350976875862421
ELEMENTS-RF,15.0,7,1.470843940427324,0.7091450132321394
ELEMENTS-RF,15.0,8,1.3410813505446926,0.7227530379520143
ELEMENTS-RF,15.0,9,1.5633400383034923,0.680216091491848
ELEMENTS-RF,15.0,Test,1.4766828995066743,0.7627581133666405
ECIF-RF,4.0,0,1.5330399247676385,0.6696906520199397
ECIF-RF,4.0,1,1.52397080273103,0.6111597110400773
ECIF-RF,4.0,2,1.4323703188578112,0.610858629916244
ECIF-RF,4.0,3,1.4134495896079438,0.7215619039895731
ECIF-RF,4.0,4,1.421744812498844,0.6836172707768235
ECIF-RF,4.0,5,1.4657536501548192,0.7089833512178308
ECIF-RF,4.0,6,1.4537216790463865,0.602980236339536
ECIF-RF,4.0,7,1.554433521580193,0.6669169055922588
ECIF-RF,4.0,8,1.4872331768500882,0.6423355133174924
ECIF-RF,4.0,9,1.5905023190840368,0.6662288373584064
ECIF-RF,4.0,Test,1.5988242042174554,0.7212693493925039
ECIF-RF,4.5,0,1.4991016675438966,0.6874838201452232
ECIF-RF,4.5,1,1.4599428632884388,0.6519604172722847
ECIF-RF,4.5,2,1.3730471475349442,0.651150152966397
ECIF-RF,4.5,3,1.4123575798321346,0.7220747674924096
ECIF-RF,4.5,4,1.40366401736551,0.6933935658464705
ECIF-RF,4.5,5,1.4385484313177237,0.7217672630614824
ECIF-RF,4.5,6,1.4044275742299046,0.6371920138525733
ECIF-RF,4.5,7,1.4953309195379652,0.6972780880482101
ECIF-RF,4.5,8,1.4317749812760232,0.6749712702346207
ECIF-RF,4.5,9,1.5408287085719723,0.6914162354278676
ECIF-RF,4.5,Test,1.529361018049179,0.748774632570121
ECIF-RF,5.0,0,1.4700474836092148,0.7020525180257127
ECIF-RF,5.0,1,1.4506304966262689,0.6575436831812507
ECIF-RF,5.0,2,1.3976644350925391,0.6349465308662939
ECIF-RF,5.0,3,1.4083590136692974,0.7239462242351471
ECIF-RF,5.0,4,1.3902843698733212,0.7004609458109453
ECIF-RF,5.0,5,1.4280278169522438,0.7265874442454454
ECIF-RF,5.0,6,1.4089285332653807,0.6341926402631594
ECIF-RF,5.0,7,1.4734082378133468,0.7079207476928006
ECIF-RF,5.0,8,1.4244645592384029,0.6790665714408549
ECIF-RF,5.0,9,1.52412045241726,0.6995102701208175
ECIF-RF,5.0,Test,1.5046567806403623,0.7608373418340063
ECIF-RF,5.5,0,1.4681171819498404,0.7029997553088877
ECIF-RF,5.5,1,1.4423033961009188,0.6624664764785768
ECIF-RF,5.5,2,1.386130469146018,0.6426251799237878
ECIF-RF,5.5,3,1.3941581364756752,0.7305115003983556
ECIF-RF,5.5,4,1.3941567980838812,0.6984297561674321
ECIF-RF,5.5,5,1.4220879796437402,0.7292792835653925
ECIF-RF,5.5,6,1.4053792690376674,0.636559795480513
ECIF-RF,5.5,7,1.4424792331474092,0.7224092235068187
ECIF-RF,5.5,8,1.4263572452952884,0.6780106693211749
ECIF-RF,5.5,9,1.5319081260005056,0.6957603540715699
ECIF-RF,5.5,Test,1.4743880836283447,0.7743798185444909
ECIF-RF,6.0,0,1.466132189515016,0.7039712058443636
ECIF-RF,6.0,1,1.4421789364303201,0.6625395626530108
ECIF-RF,6.0,2,1.39242925411057,0.6384511484709431
ECIF-RF,6.0,3,1.3983045718866656,0.7286075211149317
ECIF-RF,6.0,4,1.3844874285999105,0.7034801336010669
ECIF-RF,6.0,5,1.4183899247346832,0.7309445320292738
ECIF-RF,6.0,6,1.3785972790098526,0.6539587015331362
ECIF-RF,6.0,7,1.4534733861729277,0.7173277189848057
ECIF-RF,6.0,8,1.394993106072732,0.6951248676245824
ECIF-RF,6.0,9,1.5277436626182457,0.6977705079510517
ECIF-RF,6.0,Test,1.4779384282690486,0.7745971343131866
ECIF-RF,6.5,0,1.4302050034846652,0.7211061944906036
ECIF-RF,6.5,1,1.440229660748498,0.6636823598435805
ECIF-RF,6.5,2,1.3905492703443392,0.639701797166258
ECIF-RF,6.5,3,1.3759394756023815,0.7387529235382752
ECIF-RF,6.5,4,1.4054639184420348,0.6924321209817762
ECIF-RF,6.5,5,1.4059765778942648,0.7364753484304938
ECIF-RF,6.5,6,1.3712095242350042,0.6586195738071033
ECIF-RF,6.5,7,1.4508281226798088,0.7185571757108381
ECIF-RF,6.5,8,1.3806071122536283,0.7027109958272524
ECIF-RF,6.5,9,1.5246754775570532,0.699244311339931
ECIF-RF,6.5,Test,1.4715655533976957,0.7756376646282057
ECIF-RF,7.0,0,1.4280213281550742,0.7221210399611432
ECIF-RF,7.0,1,1.4405656476216877,0.6634856322092919
ECIF-RF,7.0,2,1.383568157237277,0.6443100329877258
ECIF-RF,7.0,3,1.3715089941017002,0.7407269913195215
ECIF-RF,7.0,4,1.412793048853625,0.6884904848051838
ECIF-RF,7.0,5,1.407922559641314,0.7356142620117229
ECIF-RF,7.0,6,1.3623068012422437,0.6641598937830493
ECIF-RF,7.0,7,1.4266597846224185,0.7295920959714209
ECIF-RF,7.0,8,1.368094323278456,0.7091803360587925
ECIF-RF,7.0,9,1.5096755096536043,0.706363113876485
ECIF-RF,7.0,Test,1.4544433554579534,0.7828462594095468
ECIF-RF,7.5,0,1.4205068033295611,0.7255907236374548
ECIF-RF,7.5,1,1.4306668393459896,0.6692382780791689
ECIF-RF,7.5,2,1.3725586290927911,0.651464751943134
ECIF-RF,7.5,3,1.3696686469195305,0.7415435738933339
ECIF-RF,7.5,4,1.4220893628936155,0.6834283904021304
ECIF-RF,7.5,5,1.3917577680278213,0.7427009807974879
ECIF-RF,7.5,6,1.3665662062015491,0.6615194828768948
ECIF-RF,7.5,7,1.4222156916451891,0.7315831201825229
ECIF-RF,7.5,8,1.3633501973951516,0.7116024828845365
ECIF-RF,7.5,9,1.482700940248873,0.7188144687529409
ECIF-RF,7.5,Test,1.4610550057808207,0.7775808721924964
ECIF-RF,8.0,0,1.4237783827283894,0.7240844292470953
ECIF-RF,8.0,1,1.4416697102066478,0.6628384448324535
ECIF-RF,8.0,2,1.3676253991604015,0.6546269685683348
ECIF-RF,8.0,3,1.3624532419000384,0.7447259672424079
ECIF-RF,8.0,4,1.4124338732704629,0.6886846555527487
ECIF-RF,8.0,5,1.3917769279368732,0.7426926692437398
ECIF-RF,8.0,6,1.373705949889496,0.6570510967176552
ECIF-RF,8.0,7,1.4165175929131133,0.7341190140590969
ECIF-RF,8.0,8,1.379594051609028,0.7032391805342207
ECIF-RF,8.0,9,1.4749187743643164,0.7223256355189567
ECIF-RF,8.0,Test,1.4546976890549304,0.7811037188088296
ECIF-RF,8.5,0,1.4125647800702656,0.7292201010217023
ECIF-RF,8.5,1,1.4306634529157278,0.6692402308680071
ECIF-RF,8.5,2,1.3740027268804094,0.6505340094495915
ECIF-RF,8.5,3,1.3869547176240191,0.7337940871454106
ECIF-RF,8.5,4,1.4172780204837785,0.6860571038916209
ECIF-RF,8.5,5,1.3920954953744762,0.7425544445321226
ECIF-RF,8.5,6,1.3729022526133343,0.6575567708551004
ECIF-RF,8.5,7,1.4086980963582256,0.7375683625397604
ECIF-RF,8.5,8,1.3704742284198057,0.7079589574822841
ECIF-RF,8.5,9,1.4799419055845795,0.7200633679254413
ECIF-RF,8.5,Test,1.4499455647359818,0.7839644528960249
ECIF-RF,9.0,0,1.4138999931220957,0.728612614839818
ECIF-RF,9.0,1,1.4245091483134276,0.6727721551789353
ECIF-RF,9.0,2,1.375188403970858,0.6497680931650235
ECIF-RF,9.0,3,1.3906709187152129,0.7321045816106809
ECIF-RF,9.0,4,1.395135739599065,0.6979144430924482
ECIF-RF,9.0,5,1.3995572403914374,0.7393003523908066
ECIF-RF,9.0,6,1.3675649594118522,0.6608976311669702
ECIF-RF,9.0,7,1.4031141149921431,0.7400101167835803
ECIF-RF,9.0,8,1.3588885045985089,0.7138652926198082
ECIF-RF,9.0,9,1.4843263795599146,0.7180765928874832
ECIF-RF,9.0,Test,1.4396201515248706,0.7893815254064263
ECIF-RF,9.5,0,1.4140894668866182,0.7285263217823184
ECIF-RF,9.5,1,1.415544017413451,0.6778573013989926
ECIF-RF,9.5,2,1.368829914375846,0.6538573308552077
ECIF-RF,9.5,3,1.3639790198675072,0.7440555491375691
ECIF-RF,9.5,4,1.3913206275221752,0.6999185325421959
ECIF-RF,9.5,5,1.395219798037597,0.7411957804412524
ECIF-RF,9.5,6,1.3546731749986811,0.6688454720073369
ECIF-RF,9.5,7,1.3888105566021018,0.7461845107644332
ECIF-RF,9.5,8,1.354033188880508,0.7163112262278462
ECIF-RF,9.5,9,1.4751086510011755,0.7222403893181808
ECIF-RF,9.5,Test,1.4220533940260656,0.7957741529724982
ECIF-RF,10.0,0,1.4199127365617916,0.7258635361878849
ECIF-RF,10.0,1,1.420902783683333,0.6748262044976611
ECIF-RF,10.0,2,1.3624288773166908,0.6579292973865973
ECIF-RF,10.0,3,1.3716948435693712,0.7406444167926567
ECIF-RF,10.0,4,1.3911038613386488,0.7000320636940455
ECIF-RF,10.0,5,1.4017776546730163,0.7383258831209706
ECIF-RF,10.0,6,1.3576245806160254,0.6670408987988589
ECIF-RF,10.0,7,1.3813887398470162,0.7493435056585837
ECIF-RF,10.0,8,1.366977262627309,0.7097521612587899
ECIF-RF,10.0,9,1.4629306976066905,0.7276654793829689
ECIF-RF,10.0,Test,1.4168799250114146,0.7976851101787852
ECIF-RF,10.5,0,1.4236561937266805,0.7241408059547753
ECIF-RF,10.5,1,1.4170000401812768,0.6770362010494599
ECIF-RF,10.5,2,1.3727253193757196,0.6513574354150419
ECIF-RF,10.5,3,1.3693363929633582,0.741690786114504
ECIF-RF,10.5,4,1.3839652871798591,0.7037508239122441
ECIF-RF,10.5,5,1.3938086045253149,0.741810150890912
ECIF-RF,10.5,6,1.364857297069718,0.6625810923827439
ECIF-RF,10.5,7,1.389013774399526,0.7460975871405955
ECIF-RF,10.5,8,1.3501089138331277,0.7182756793096591
ECIF-RF,10.5,9,1.459920119814924,0.7289935263966738
ECIF-RF,10.5,Test,1.4238230742676008,0.7922677223266354
ECIF-RF,11.0,0,1.4166322956089674,0.7273661161975294
ECIF-RF,11.0,1,1.4108772901131508,0.680476686252622
ECIF-RF,11.0,2,1.3612353491338534,0.6586836637660396
ECIF-RF,11.0,3,1.3682553813794198,0.7421693024103352
ECIF-RF,11.0,4,1.3826467324307117,0.7044334765366588
ECIF-RF,11.0,5,1.387442158527106,0.7445678167744542
ECIF-RF,11.0,6,1.3492758407646257,0.6721229291962505
