Scoring Function,Distance Cutoff,Fold,RMSE,PEARSON
ELEMENTS-RF,4.0,0,1.6169155036484018,0.6216798423959927
ELEMENTS-RF,4.0,1,1.6228718144426608,0.5381114636512121
ELEMENTS-RF,4.0,2,1.4227929600004463,0.6176592643276575
ELEMENTS-RF,4.0,3,1.5858043345765986,0.6297789062373711
ELEMENTS-RF,4.0,4,1.556467245728152,0.6013319420121629
ELEMENTS-RF,4.0,5,1.5550128511660306,0.6635060319846896
ELEMENTS-RF,4.0,6,1.5057069805421153,0.563253716464269
ELEMENTS-RF,4.0,7,1.5785286490102015,0.6537827380183956
ELEMENTS-RF,4.0,8,1.4787321872669856,0.647526761504
ELEMENTS-RF,4.0,9,1.6526929048969443,0.6320752634992187
ELEMENTS-RF,4.0,Test,1.6636857154753668,0.6608500029655722
ELEMENTS-RF,4.5,0,1.5490744114064592,0.6609753044934628
ELEMENTS-RF,4.5,1,1.5300642088569774,0.607038996221748
ELEMENTS-RF,4.5,2,1.3659605516174569,0.6556881402696896
ELEMENTS-RF,4.5,3,1.5074854521911931,0.6743503897120993
ELEMENTS-RF,4.5,4,1.506314290822777,0.6340967552377825
ELEMENTS-RF,4.5,5,1.4912724465774276,0.6965552071534735
ELEMENTS-RF,4.5,6,1.5132316739236198,0.5571478521640489
ELEMENTS-RF,4.5,7,1.5611967283579309,0.6632768677205686
ELEMENTS-RF,4.5,8,1.4250634070813493,0.6787328121375049
ELEMENTS-RF,4.5,9,1.5638510985461027,0.6799577780889188
ELEMENTS-RF,4.5,Test,1.5631879266751487,0.7203830025743566
ELEMENTS-RF,5.0,0,1.5344735791971498,0.6689197010939751
ELEMENTS-RF,5.0,1,1.524385639764218,0.6108805760362761
ELEMENTS-RF,5.0,2,1.3613804314610174,0.6585920462754217
ELEMENTS-RF,5.0,3,1.5021100577139517,0.6772222923773726
ELEMENTS-RF,5.0,4,1.4878799258717754,0.6454641261092571
ELEMENTS-RF,5.0,5,1.4397676395203776,0.7212042839397556
ELEMENTS-RF,5.0,6,1.4756726349770666,0.5867031132002183
ELEMENTS-RF,5.0,7,1.5219520279427834,0.6839149011596735
ELEMENTS-RF,5.0,8,1.4053322933582062,0.6895719686015277
ELEMENTS-RF,5.0,9,1.5563018627260157,0.6837550421462041
ELEMENTS-RF,5.0,Test,1.5144935443940413,0.7469344120329648
ELEMENTS-RF,5.5,0,1.4707436971796386,0.7017102527021352
ELEMENTS-RF,5.5,1,1.4727951371564985,0.6441156638134895
ELEMENTS-RF,5.5,2,1.3568042170637251,0.6614710672458837
ELEMENTS-RF,5.5,3,1.4891606540947753,0.684049627973077
ELEMENTS-RF,5.5,4,1.4992951665542882,0.6384654258700688
ELEMENTS-RF,5.5,5,1.4758245850768448,0.7041303905462775
ELEMENTS-RF,5.5,6,1.4879817000115392,0.5772649099501257
